snapshot_id,violation_id
2541,select-name
2542,select-name
2543,select-name
2544,select-name
2545,select-name
2546,select-name
2547,select-name
2548,select-name
2549,select-name
2550,select-name
2551,select-name
2552,select-name
2553,select-name
2554,select-name
2555,select-name
2556,select-name
2557,select-name
2558,select-name
2559,select-name
2560,select-name
2561,select-name
2562,select-name
2563,select-name
2564,select-name
2565,select-name
2566,select-name
2567,select-name
2568,select-name
2569,select-name
2570,select-name
2571,select-name
2572,select-name
2573,select-name
2574,select-name
2575,select-name
2576,select-name
2588,label
2588,label
2588,label
2589,label
2589,label
2589,label
2590,label
2590,label
2590,label
2591,label
2591,label
2591,label
2592,label
2592,label
2592,label
2593,label
2593,label
2593,label
2594,label
2594,label
2594,label
2595,label
2595,label
2595,label
2596,label
2596,label
2596,label
2597,label
2597,label
2597,label
2598,label
2598,select-name
2598,button-name
2599,label
2599,select-name
2599,button-name
2600,button-name
2600,select-name
2600,label
2601,button-name
2601,select-name
2601,label
2602,button-name
2602,select-name
2602,label
2603,select-name
2603,button-name
2603,label
2604,select-name
2604,button-name
2604,label
2605,select-name
2605,button-name
2605,label
2606,select-name
2606,button-name
2606,label
2607,select-name
2607,button-name
2607,button-name
2607,label
2608,select-name
2608,button-name
2608,button-name
2608,label
2608,button-name
2609,select-name
2609,button-name
2609,button-name
2609,label
2609,button-name
2610,select-name
2610,button-name
2610,button-name
2610,label
2610,button-name
2611,select-name
2611,button-name
2611,button-name
2611,label
2611,button-name
2612,select-name
2612,button-name
2612,button-name
2612,label
2612,button-name
2613,select-name
2613,button-name
2613,label
2613,button-name
2613,button-name
2613,button-name
2614,select-name
2614,button-name
2614,label
2614,button-name
2614,button-name
2614,button-name
2615,select-name
2615,button-name
2615,label
2615,button-name
2615,button-name
2615,button-name
2616,button-name
2616,label
2616,button-name
2616,button-name
2616,button-name
2616,select-name
2617,button-name
2617,label
2617,button-name
2617,button-name
2617,button-name
2617,select-name
2618,button-name
2618,label
2618,button-name
2618,button-name
2618,button-name
2618,select-name
2619,button-name
2619,label
2619,button-name
2619,button-name
2619,button-name
2619,select-name
2620,button-name
2620,label
2620,button-name
2620,button-name
2620,button-name
2620,select-name
2621,button-name
2621,select-name
2621,button-name
2621,label
2621,button-name
2621,button-name
2622,button-name
2622,button-name
2622,select-name
2622,label
2622,button-name
2623,button-name
2623,label
2623,button-name
2623,button-name
2623,select-name
2623,label
2624,button-name
2624,label
2624,label
2624,button-name
2624,button-name
2624,button-name
2625,button-name
2625,label
2625,label
2625,button-name
2625,button-name
2625,button-name
2626,button-name
2626,label
2626,label
2626,button-name
2626,button-name
2626,button-name
2627,button-name
2627,label
2627,label
2627,button-name
2627,button-name
2627,button-name
2628,button-name
2628,label
2628,label
2628,button-name
2628,button-name
2628,button-name
2629,button-name
2629,label
2629,label
2629,button-name
2629,button-name
2629,button-name
2630,button-name
2630,label
2630,label
2630,button-name
2630,button-name
2630,button-name
2631,button-name
2631,label
2631,button-name
2631,button-name
2631,label
2631,button-name
2632,button-name
2632,label
2632,button-name
2632,button-name
2632,label
2632,button-name
2633,button-name
2633,label
2633,button-name
2633,button-name
2633,label
2633,button-name
2634,button-name
2634,button-name
2634,button-name
2634,button-name
2634,image-alt
2634,label
2634,label
2634,button-name
2634,button-name
2634,button-name
2634,label
2634,label
2635,button-name
2635,button-name
2635,button-name
2635,label
2635,button-name
2635,label
2635,image-alt
2635,label
2635,button-name
2635,button-name
2635,button-name
2635,label
2636,label
2636,image-alt
2636,button-name
2636,label
2636,label
2636,label
2636,button-name
2636,button-name
2636,button-name
2636,button-name
2636,button-name
2637,button-name
2637,label
2637,label
2637,label
2637,button-name
2637,button-name
2637,label
2637,button-name
2637,button-name
2637,button-name
2637,image-alt
2639,label
2640,label
2641,label
2642,label
2643,label
2644,label
2645,label
2646,label
2647,label
2648,label
2649,label
2650,label
2651,label
2652,label
2653,label
2654,label
2655,label
2656,label
2657,label
2658,label
2659,label
2660,label
2661,label
2662,label
2663,label
2664,label
2665,label
2666,label
2667,label
2668,label
2669,label
2670,label
2671,label
2672,label
2673,label
2674,label
2675,aria-roles
2675,aria-roles
2675,label
2676,aria-roles
2676,aria-roles
2676,label
2677,aria-roles
2677,aria-roles
2677,label
2678,aria-roles
2678,aria-roles
2678,label
2679,aria-roles
2679,aria-roles
2679,label
2680,aria-roles
2680,aria-roles
2680,label
2681,aria-roles
2681,aria-roles
2681,label
2682,aria-roles
2682,aria-roles
2682,label
2683,aria-roles
2683,aria-roles
2683,label
2684,aria-roles
2684,aria-roles
2684,label
2685,label
2686,label
2686,button-name
2687,label
2687,button-name
2688,label
2689,label
2690,label
2691,label
2692,label
2693,label
2702,button-name
2737,aria-dialog-name
2737,label
2737,label
2737,button-name
2737,select-name
2737,button-name
2738,button-name
2738,label
2738,aria-dialog-name
2738,button-name
2738,select-name
2739,button-name
2739,label
2739,aria-dialog-name
2739,button-name
2739,select-name
2740,button-name
2740,label
2740,aria-dialog-name
2740,button-name
2740,select-name
2741,button-name
2741,label
2741,aria-dialog-name
2741,button-name
2741,select-name
2742,button-name
2742,label
2742,aria-dialog-name
2742,button-name
2742,select-name
2743,button-name
2743,label
2743,aria-dialog-name
2743,button-name
2743,select-name
2744,button-name
2744,label
2744,aria-dialog-name
2744,button-name
2744,select-name
2745,label
2745,aria-dialog-name
2745,button-name
2745,select-name
2745,button-name
2746,label
2746,aria-dialog-name
2746,button-name
2746,select-name
2746,button-name
2747,label
2747,aria-dialog-name
2747,button-name
2747,select-name
2747,button-name
2748,label
2748,aria-dialog-name
2748,button-name
2748,select-name
2748,button-name
2749,label
2749,aria-dialog-name
2749,button-name
2749,select-name
2749,button-name
2750,label
2750,aria-dialog-name
2750,button-name
2750,select-name
2750,button-name
2751,label
2751,aria-dialog-name
2751,button-name
2751,select-name
2751,button-name
2752,label
2752,aria-dialog-name
2752,button-name
2752,select-name
2752,button-name
2753,label
2753,aria-dialog-name
2753,button-name
2753,select-name
2753,button-name
2754,aria-allowed-attr
2754,button-name
2754,button-name
2754,label
2754,select-name
2754,aria-dialog-name
2754,button-name
2754,aria-required-parent
2754,aria-treeitem-name
2754,button-name
2754,button-name
2754,label
2754,label
2754,label
2754,label
2755,aria-allowed-attr
2755,button-name
2755,button-name
2755,label
2755,select-name
2755,aria-dialog-name
2755,button-name
2755,aria-required-parent
2755,aria-treeitem-name
2755,button-name
2755,button-name
2755,label
2755,label
2755,label
2755,label
2756,aria-allowed-attr
2756,button-name
2756,button-name
2756,label
2756,select-name
2756,aria-dialog-name
2756,button-name
2756,aria-required-parent
2756,aria-treeitem-name
2756,button-name
2756,button-name
2756,label
2756,label
2756,label
2756,label
2757,aria-allowed-attr
2757,button-name
2757,button-name
2757,label
2757,select-name
2757,aria-dialog-name
2757,button-name
2757,aria-required-parent
2757,aria-treeitem-name
2757,button-name
2757,button-name
2757,label
2757,label
2757,label
2757,label
2758,aria-allowed-attr
2758,button-name
2758,button-name
2758,label
2758,select-name
2758,aria-dialog-name
2758,button-name
2758,aria-required-parent
2758,aria-treeitem-name
2758,button-name
2758,button-name
2758,label
2758,label
2758,label
2758,label
2759,aria-allowed-attr
2759,button-name
2759,button-name
2759,label
2759,select-name
2759,aria-dialog-name
2759,button-name
2759,aria-required-parent
2759,aria-treeitem-name
2759,button-name
2759,button-name
2759,label
2759,label
2759,label
2759,label
2760,aria-allowed-attr
2760,button-name
2760,button-name
2760,label
2760,select-name
2760,aria-dialog-name
2760,button-name
2760,aria-required-parent
2760,aria-treeitem-name
2760,button-name
2760,button-name
2760,label
2760,label
2760,label
2760,label
2761,aria-allowed-attr
2761,button-name
2761,button-name
2761,label
2761,select-name
2761,button-name
2761,aria-required-parent
2761,aria-treeitem-name
2761,button-name
2761,button-name
2761,label
2761,label
2761,label
2761,label
2762,button-name
2762,label
2762,aria-allowed-attr
2762,button-name
2762,select-name
2762,button-name
2762,aria-required-parent
2762,aria-treeitem-name
2762,button-name
2762,button-name
2762,label
2762,label
2762,aria-tooltip-name
2762,button-name
2762,label
2762,label
2763,button-name
2763,aria-input-field-name
2763,label
2763,aria-allowed-attr
2763,button-name
2763,select-name
2763,button-name
2763,aria-required-parent
2763,button-name
2763,button-name
2763,label
2763,label
2763,aria-tooltip-name
2763,button-name
2763,label
2763,label
2764,button-name
2764,aria-input-field-name
2764,label
2764,aria-allowed-attr
2764,button-name
2764,select-name
2764,button-name
2764,aria-required-parent
2764,button-name
2764,label
2764,label
2764,aria-tooltip-name
2764,button-name
2764,label
2764,label
2765,button-name
2765,aria-input-field-name
2765,label
2765,select-name
2765,button-name
2765,aria-required-parent
2765,button-name
2765,button-name
2765,label
2765,label
2765,aria-tooltip-name
2765,button-name
2765,label
2765,label
2766,button-name
2766,aria-input-field-name
2766,label
2766,select-name
2766,button-name
2766,aria-required-parent
2766,button-name
2766,button-name
2766,label
2766,label
2766,aria-tooltip-name
2766,button-name
2766,label
2766,label
2767,button-name
2767,aria-input-field-name
2767,label
2767,select-name
2767,button-name
2767,aria-required-parent
2767,button-name
2767,button-name
2767,label
2767,label
2767,aria-tooltip-name
2767,button-name
2767,label
2767,label
2768,button-name
2768,aria-input-field-name
2768,label
2768,select-name
2768,button-name
2768,aria-required-parent
2768,button-name
2768,button-name
2768,label
2768,label
2768,aria-tooltip-name
2768,button-name
2768,label
2768,label
2769,button-name
2769,aria-input-field-name
2769,label
2769,select-name
2769,button-name
2769,aria-required-parent
2769,button-name
2769,button-name
2769,label
2769,label
2769,aria-tooltip-name
2769,button-name
2769,label
2769,label
2770,button-name
2770,aria-input-field-name
2770,label
2770,select-name
2770,button-name
2770,aria-required-parent
2770,button-name
2770,button-name
2770,label
2770,label
2770,aria-tooltip-name
2770,button-name
2770,label
2770,label
2771,button-name
2771,aria-input-field-name
2771,label
2771,select-name
2771,button-name
2771,aria-required-parent
2771,button-name
2771,button-name
2771,label
2771,label
2771,aria-tooltip-name
2771,button-name
2771,label
2771,label
2772,button-name
2772,aria-input-field-name
2772,label
2772,select-name
2772,button-name
2772,aria-required-parent
2772,button-name
2772,button-name
2772,label
2772,label
2772,aria-tooltip-name
2772,button-name
2772,label
2772,label
2773,label
2773,aria-required-attr
2774,label
2774,aria-required-attr
2775,label
2775,aria-required-attr
2776,label
2776,aria-required-attr
2777,label
2777,aria-required-attr
2778,label
2778,aria-required-attr
2779,aria-required-attr
2779,label
2780,aria-required-attr
2780,label
2781,aria-required-attr
2781,label
2782,aria-required-attr
2782,label
2783,aria-required-attr
2783,label
2784,aria-required-attr
2784,label
2785,aria-required-attr
2785,label
2786,aria-required-attr
2786,label
2787,aria-required-attr
2787,label
2788,aria-required-attr
2788,label
2789,aria-required-attr
2789,label
2790,aria-required-attr
2790,label
2791,aria-required-attr
2791,label
2792,aria-required-attr
2792,label
2793,label
2793,aria-required-attr
2794,label
2794,aria-required-attr
2795,aria-required-attr
2795,label
2796,aria-required-attr
2796,label
2797,aria-required-attr
2797,label
2798,aria-required-attr
2798,label
2799,aria-required-attr
2799,label
2800,aria-required-attr
2800,label
2801,aria-required-attr
2801,label
2802,label
2802,aria-required-attr
2803,label
2803,aria-required-attr
2804,aria-required-attr
2804,label
2805,aria-required-attr
2805,label
2806,label
2806,aria-required-attr
2807,aria-required-attr
2807,label
2808,aria-required-attr
2808,label
2839,image-alt
2839,role-img-alt
2839,list
2839,image-alt
2839,image-alt
2840,image-alt
2840,list
2840,image-alt
2840,role-img-alt
2840,image-alt
2841,image-alt
2841,image-alt
2841,role-img-alt
2841,image-alt
2841,list
2842,image-alt
2842,image-alt
2842,role-img-alt
2842,image-alt
2842,list
2843,image-alt
2843,image-alt
2843,role-img-alt
2843,image-alt
2843,list
2844,image-alt
2844,list
2844,image-alt
2844,role-img-alt
2844,image-alt
2845,image-alt
2845,list
2845,image-alt
2845,role-img-alt
2845,image-alt
2846,image-alt
2846,list
2846,image-alt
2846,role-img-alt
2846,image-alt
2847,list
2847,image-alt
2847,image-alt
2847,role-img-alt
2847,image-alt
2848,list
2848,image-alt
2848,image-alt
2848,role-img-alt
2848,image-alt
2849,list
2849,image-alt
2849,image-alt
2849,role-img-alt
2849,image-alt
2849,link-name
2849,image-alt
2849,link-name
2849,image-alt
2850,list
2850,image-alt
2850,image-alt
2850,role-img-alt
2850,image-alt
2850,link-name
2850,image-alt
2850,link-name
2850,image-alt
2851,image-alt
2851,role-img-alt
2851,image-alt
2851,list
2851,image-alt
2851,link-name
2851,image-alt
2851,image-alt
2851,link-name
2852,image-alt
2852,list
2852,image-alt
2852,role-img-alt
2852,image-alt
2852,link-name
2852,image-alt
2852,image-alt
2852,link-name
2853,image-alt
2853,list
2853,image-alt
2853,role-img-alt
2853,image-alt
2853,link-name
2853,image-alt
2853,image-alt
2853,link-name
2854,image-alt
2854,list
2854,document-title
2854,image-alt
2854,link-name
2854,role-img-alt
2854,image-alt
2854,image-alt
2854,image-alt
2854,link-name
2855,image-alt
2855,list
2855,document-title
2855,image-alt
2855,link-name
2855,role-img-alt
2855,image-alt
2855,image-alt
2855,image-alt
2855,link-name
2856,image-alt
2856,list
2856,document-title
2856,image-alt
2856,link-name
2856,role-img-alt
2856,image-alt
2856,image-alt
2856,image-alt
2856,link-name
2857,image-alt
2857,list
2857,image-alt
2857,link-name
2857,document-title
