treated_repo_id,control_repo_id,treatment_date,treated_tier
523184984,533775356,2023-09-13,2.0
434469478,194525766,2024-01-30,2.0
566800722,345524105,2025-07-07,2.0
399216294,501375490,2023-04-17,2.0
441328097,569390915,2023-02-14,2.0
421119898,567313082,2023-10-25,2.0
420733850,371665164,2023-01-09,2.0
297660114,314232123,2024-04-24,2.0
335130719,234505722,2022-07-01,2.0
476099912,265561777,2023-05-29,2.0
323199744,392348925,2024-12-29,2.0
372496835,533089720,2023-03-29,2.0
115242995,549650165,2021-01-16,2.0
420981115,50549254,2025-07-24,2.0
189662255,82496385,2025-05-12,2.0
354877486,367672537,2022-10-02,2.0
265662387,198009735,2025-03-06,2.0
207455372,522712696,2021-10-09,2.0
323296748,184605387,2022-07-01,2.0
122890563,138988572,2019-04-17,2.0
461893894,187081926,2024-08-24,2.0
271965695,166500690,2022-11-21,2.0
546358763,157654793,2024-05-15,2.0
245195204,288341090,2021-03-13,2.0
343261217,68607771,2024-01-02,2.0
448725523,222492151,2024-04-21,2.0
97640205,467877901,2019-02-11,2.0
250817872,131896967,2022-06-09,2.0
121953928,135332808,2022-01-14,2.0
186519945,385194607,2020-06-22,2.0
508114310,513516870,2023-08-24,2.0
460077424,172398180,2023-03-09,2.0
133213463,126676332,2020-04-10,2.0
446459287,377687390,2023-04-12,2.0
262879465,300859216,2024-09-10,2.0
203082145,569864764,2021-12-03,2.0
332906349,256055000,2022-03-29,2.0
258080286,84543641,2024-11-20,2.0
101936721,182489651,2023-01-26,2.0
330583823,442484173,2022-11-12,2.0
305234033,432209558,2021-12-30,2.0
121553660,137143170,2020-08-31,2.0
112675900,437355109,2019-11-23,2.0
407293674,218645708,2025-07-14,2.0
88315752,201732237,2025-06-30,2.0
266412451,488802963,2022-02-15,2.0
567307948,248295170,2025-06-11,1.0
323076240,190254698,2022-04-10,2.0
140103904,169250432,2020-06-15,2.0
89225374,255319295,2018-07-05,2.0
102235307,350087687,2020-04-27,2.0
97406578,380267876,2023-05-15,2.0
500504564,485134435,2024-06-09,2.0
491459489,217388629,2023-10-25,2.0
189649243,538890789,2025-07-16,2.0
210912285,238501964,2021-07-13,2.0
550054675,26750407,2025-06-19,1.0
139387028,178284888,2023-08-29,2.0
235509343,206791369,2022-03-21,2.0
274765273,372240402,2025-07-29,2.0
91800758,78896316,2018-08-23,2.0
538665344,216070925,2025-03-28,1.0
259586079,94473513,2022-10-05,2.0
252658769,135250854,2022-08-08,2.0
278648935,155508359,2023-04-20,2.0
577076286,198941388,2025-06-27,1.0
511099665,387069300,2025-07-09,1.0
524712019,417448864,2025-01-25,2.0
26936089,28944251,2017-12-30,2.0
158992367,89659676,2024-02-07,2.0
295992065,272492043,2022-06-10,2.0
85344269,53696628,2018-08-03,2.0
201570219,185632238,2023-03-23,2.0
75236196,218115303,2018-12-08,2.0
179377705,321362240,2021-06-23,2.0
262985799,32039560,2021-11-19,2.0
164768889,364854508,2023-07-20,2.0
81861029,273499522,2024-02-12,2.0
169659080,102707334,2025-04-15,2.0
393493377,525683737,2023-03-04,2.0
169908427,406590369,2025-04-15,2.0
227635919,184704110,2023-12-22,2.0
425845325,86785721,2024-07-31,1.0
203314283,280608591,2021-03-20,2.0
140883594,206509491,2022-03-13,2.0
169659078,276218849,2025-07-09,1.0
138225704,196968829,2022-12-06,2.0
139280657,173333385,2025-02-04,2.0
60334478,124257233,2017-09-15,2.0
549694131,70604876,2025-05-06,1.0
184680614,211371442,2022-11-15,2.0
280531604,48889397,2025-07-28,1.0
353582645,334954985,2025-07-22,1.0
443164354,211033256,2023-02-05,2.0
237222619,70557651,2025-08-14,1.0
314533356,37007945,2025-08-08,2.0
146879015,321915650,2021-09-06,2.0
