treated_repo_id,control_repo_id
30027024,30751591
31084646,176347512
31341340,117335415
31598574,227810030
31681575,48117679
31764022,104233520
36029706,287649568
38331796,75044525
41376392,241215865
82920852,79252808
106006714,244036821
111667959,119162419
117788382,157382490
119847449,201018683
126741221,97782460
145464445,137128945
146916092,131822486
156734327,108948103
157846876,295375538
166587886,68283950
170884642,53737182
192062777,241534790
197018189,44860145
257314632,310456670
258290984,112163978
262932920,538890789
280557054,76937669
284712323,221855444
286700649,121948740
288540467,100216084
301207725,177371860
307905007,76996763
375822193,479372545
380002519,163895941
393190287,102447494
398753576,322542582
409447446,264077754
454149532,292770274
471728341,187370748
473914810,462378188
473937582,110222380
511099665,279507329
528828149,184588327
530557416,246072685
541135881,454142785
541201936,101593337
542017915,353447127
543838169,177081309
550389909,206840619
561272642,156510564
